/home/fonwin/f9utws.block/logs/20190828/omstws.log.TwsNew.g4.txt
Count=1000|Abandoned=0|Rejected=0|Sending=1000|Queuing=0
ReqSNO|T0|T1|T2|(T1-T0)|(T2-T1)|T0-|T1-|T2-
337|20190828053224.339256|20190828053224.339363|20190828053224.339438|107|75
339|20190828053224.339274|20190828053224.339369|20190828053224.339443|95|74|18|6|5
341|20190828053224.339280|20190828053224.339370|20190828053224.339445|90|75|6|1|2
343|20190828053224.339284|20190828053224.339370|20190828053224.339447|86|77|4|0|2
345|20190828053224.339288|20190828053224.339371|20190828053224.339449|83|78|4|1|2
347|20190828053224.339292|20190828053224.339372|20190828053224.339451|80|79|4|1|2
349|20190828053224.339296|20190828053224.339372|20190828053224.339453|76|81|4|0|2
351|20190828053224.339300|20190828053224.339373|20190828053224.339457|73|84|4|1|4
353|20190828053224.339304|20190828053224.339373|20190828053224.339460|69|87|4|0|3
355|20190828053224.339311|20190828053224.339374|20190828053224.339462|63|88|7|1|2
357|20190828053224.339315|20190828053224.339375|20190828053224.339472|60|97|4|1|10
359|20190828053224.339321|20190828053224.339375|20190828053224.339474|54|99|6|0|2
361|20190828053224.339325|20190828053224.339384|20190828053224.339478|59|94|4|9|4
363|20190828053224.339328|20190828053224.339385|20190828053224.339480|57|95|3|1|2
365|20190828053224.339332|20190828053224.339386|20190828053224.339496|54|110|4|1|16
367|20190828053224.339346|20190828053224.339387|20190828053224.339498|41|111|14|1|2
369|20190828053224.339350|20190828053224.339387|20190828053224.339500|37|113|4|0|2
371|20190828053224.339353|20190828053224.339388|20190828053224.339501|35|113|3|1|1
373|20190828053224.339361|20190828053224.339388|20190828053224.339503|27|115|8|0|2
375|20190828053224.339366|20190828053224.339389|20190828053224.339505|23|116|5|1|2
377|20190828053224.339369|20190828053224.339389|20190828053224.339506|20|117|3|0|1
379|20190828053224.339375|20190828053224.339390|20190828053224.339508|15|118|6|1|2
381|20190828053224.339379|20190828053224.339412|20190828053224.339510|33|98|4|22|2
383|20190828053224.339383|20190828053224.339413|20190828053224.339512|30|99|4|1|2
385|20190828053224.339387|20190828053224.339414|20190828053224.339513|27|99|4|1|1
387|20190828053224.339391|20190828053224.339422|20190828053224.339517|31|95|4|8|4
389|20190828053224.339395|20190828053224.339423|20190828053224.339520|28|97|4|1|3
391|20190828053224.339408|20190828053224.339424|20190828053224.339522|16|98|13|1|2
393|20190828053224.339415|20190828053224.339428|20190828053224.339524|13|96|7|4|2
395|20190828053224.339419|20190828053224.339429|20190828053224.339535|10|106|4|1|11
397|20190828053224.339426|20190828053224.339432|20190828053224.339537|6|105|7|3|2
399|20190828053224.339433|20190828053224.339447|20190828053224.339539|14|92|7|15|2
401|20190828053224.339439|20190828053224.339449|20190828053224.339541|10|92|6|2|2
403|20190828053224.339444|20190828053224.339451|20190828053224.339543|7|92|5|2|2
405|20190828053224.339451|20190828053224.339473|20190828053224.339545|22|72|7|22|2
407|20190828053224.339456|20190828053224.339475|20190828053224.339547|19|72|5|2|2
409|20190828053224.339459|20190828053224.339479|20190828053224.339548|20|69|3|4|1
411|20190828053224.339477|20190828053224.339482|20190828053224.339550|5|68|18|3|2
413|20190828053224.339484|20190828053224.339501|20190828053224.339552|17|51|7|19|2
415|20190828053224.339496|20190828053224.339503|20190828053224.339553|7|50|12|2|1
417|20190828053224.339502|20190828053224.339514|20190828053224.339555|12|41|6|11|2
419|20190828053224.339509|20190828053224.339520|20190828053224.339557|11|37|7|6|2
421|20190828053224.339512|20190828053224.339521|20190828053224.339559|9|38|3|1|2
423|20190828053224.339518|20190828053224.339524|20190828053224.339560|6|36|6|3|1
425|20190828053224.339537|20190828053224.339548|20190828053224.339562|11|14|19|24|2
427|20190828053224.339542|20190828053224.339555|20190828053224.339564|13|9|5|7|2
429|20190828053224.339546|20190828053224.339557|20190828053224.339566|11|9|4|2|2
431|20190828053224.339551|20190828053224.339559|20190828053224.339567|8|8|5|2|1
433|20190828053224.339557|20190828053224.339571|20190828053224.339581|14|10|6|12|14
435|20190828053224.339563|20190828053224.339581|20190828053224.339598|18|17|6|10|17
437|20190828053224.339567|20190828053224.339583|20190828053224.339601|16|18|4|2|3
439|20190828053224.339573|20190828053224.339598|20190828053224.339603|25|5|6|15|2
441|20190828053224.339578|20190828053224.339599|20190828053224.339605|21|6|5|1|2
443|20190828053224.339585|20190828053224.339602|20190828053224.339607|17|5|7|3|2
445|20190828053224.339603|20190828053224.339616|20190828053224.339625|13|9|18|14|18
447|20190828053224.339609|20190828053224.339619|20190828053224.339627|10|8|6|3|2
449|20190828053224.339613|20190828053224.339621|20190828053224.339630|8|9|4|2|3
451|20190828053224.339619|20190828053224.339626|20190828053224.339632|7|6|6|5|2
453|20190828053224.339623|20190828053224.339628|20190828053224.339634|5|6|4|2|2
455|20190828053224.339629|20190828053224.339641|20190828053224.339650|12|9|6|13|16
457|20190828053224.339634|20190828053224.339643|20190828053224.339663|9|20|5|2|13
459|20190828053224.339638|20190828053224.339646|20190828053224.339666|8|20|4|3|3
461|20190828053224.339644|20190828053224.339663|20190828053224.339668|19|5|6|17|2
463|20190828053224.339648|20190828053224.339670|20190828053224.339684|22|14|4|7|16
465|20190828053224.339669|20190828053224.339677|20190828053224.339686|8|9|21|7|2
467|20190828053224.339673|20190828053224.339679|20190828053224.339689|6|10|4|2|3
469|20190828053224.339678|20190828053224.339691|20190828053224.339701|13|10|5|12|12
471|20190828053224.339684|20190828053224.339693|20190828053224.339703|9|10|6|2|2
473|20190828053224.339689|20190828053224.339696|20190828053224.339705|7|9|5|3|2
475|20190828053224.339695|20190828053224.339709|20190828053224.339718|14|9|6|13|13
477|20190828053224.339702|20190828053224.339716|20190828053224.339720|14|4|7|7|2
479|20190828053224.339706|20190828053224.339717|20190828053224.339722|11|5|4|1|2
481|20190828053224.339712|20190828053224.339719|20190828053224.339724|7|5|6|2|2
483|20190828053224.339717|20190828053224.339724|20190828053224.339727|7|3|5|5|3
485|20190828053224.339721|20190828053224.339727|20190828053224.339731|6|4|4|3|4
487|20190828053224.339727|20190828053224.339739|20190828053224.339747|12|8|6|12|16
489|20190828053224.339732|20190828053224.339749|20190828053224.339757|17|8|5|10|10
491|20190828053224.339735|20190828053224.339751|20190828053224.339759|16|8|3|2|2
493|20190828053224.339742|20190828053224.339759|20190828053224.339767|17|8|7|8|8
495|20190828053224.339745|20190828053224.339761|20190828053224.339769|16|8|3|2|2
497|20190828053224.339751|20190828053224.339769|20190828053224.339777|18|8|6|8|8
499|20190828053224.339755|20190828053224.339771|20190828053224.339779|16|8|4|2|2
501|20190828053224.339762|20190828053224.339779|20190828053224.339786|17|7|7|8|7
503|20190828053224.339765|20190828053224.339781|20190828053224.339788|16|7|3|2|2
505|20190828053224.339773|20190828053224.339788|20190828053224.339793|15|5|8|7|5
507|20190828053224.339776|20190828053224.339789|20190828053224.339795|13|6|3|1|2
509|20190828053224.339782|20190828053224.339795|20190828053224.339798|13|3|6|6|3
511|20190828053224.339785|20190828053224.339796|20190828053224.339800|11|4|3|1|2
513|20190828053224.339791|20190828053224.339798|20190828053224.339803|7|5|6|2|3
515|20190828053224.339797|20190828053224.339810|20190828053224.339818|13|8|6|12|15
517|20190828053224.339803|20190828053224.339816|20190828053224.339820|13|4|6|6|2
519|20190828053224.339806|20190828053224.339817|20190828053224.339822|11|5|3|1|2
521|20190828053224.339813|20190828053224.339819|20190828053224.339824|6|5|7|2|2
523|20190828053224.339819|20190828053224.339831|20190828053224.339839|12|8|6|12|15
525|20190828053224.339824|20190828053224.339834|20190828053224.339842|10|8|5|3|3
527|20190828053224.339828|20190828053224.339836|20190828053224.339844|8|8|4|2|2
529|20190828053224.339834|20190828053224.339841|20190828053224.339847|7|6|6|5|3
531|20190828053224.339838|20190828053224.339843|20190828053224.339849|5|6|4|2|2
533|20190828053224.339844|20190828053224.339855|20190828053224.339863|11|8|6|12|14
535|20190828053224.339849|20190828053224.339863|20190828053224.339871|14|8|5|8|8
537|20190828053224.339853|20190828053224.339865|20190828053224.339873|12|8|4|2|2
539|20190828053224.339859|20190828053224.339868|20190828053224.339877|9|9|6|3|4
541|20190828053224.339864|20190828053224.339875|20190828053224.339879|11|4|5|7|2
543|20190828053224.339869|20190828053224.339877|20190828053224.339881|8|4|5|2|2
545|20190828053224.339876|20190828053224.339888|20190828053224.339896|12|8|7|11|15
547|20190828053224.339881|20190828053224.339895|20190828053224.339899|14|4|5|7|3
549|20190828053224.339884|20190828053224.339896|20190828053224.339901|12|5|3|1|2
551|20190828053224.339891|20190828053224.339898|20190828053224.339903|7|5|7|2|2
553|20190828053224.339897|20190828053224.339904|20190828053224.339912|7|8|6|6|9
555|20190828053224.339902|20190828053224.339907|20190828053224.339914|5|7|5|3|2
557|20190828053224.339907|20190828053224.339919|20190828053224.339928|12|9|5|12|14
559|20190828053224.339913|20190828053224.339927|20190828053224.339931|14|4|6|8|3
561|20190828053224.339916|20190828053224.339928|20190828053224.339934|12|6|3|1|3
563|20190828053224.339923|20190828053224.339931|20190828053224.339937|8|6|7|3|3
565|20190828053224.339928|20190828053224.339936|20190828053224.339941|8|5|5|5|4
567|20190828053224.339932|20190828053224.339938|20190828053224.339943|6|5|4|2|2
569|20190828053224.339937|20190828053224.339944|20190828053224.339952|7|8|5|6|9
571|20190828053224.339942|20190828053224.339948|20190828053224.339955|6|7|5|4|3
573|20190828053224.339948|20190828053224.339958|20190828053224.339966|10|8|6|10|11
575|20190828053224.339953|20190828053224.339968|20190828053224.339976|15|8|5|10|10
577|20190828053224.339956|20190828053224.339970|20190828053224.339979|14|9|3|2|3
579|20190828053224.339962|20190828053224.339977|20190828053224.339982|15|5|6|7|3
581|20190828053224.339965|20190828053224.339978|20190828053224.339985|13|7|3|1|3
583|20190828053224.339971|20190828053224.339980|20190828053224.339987|9|7|6|2|2
585|20190828053224.339978|20190828053224.339985|20190828053224.339990|7|5|7|5|3
587|20190828053224.339982|20190828053224.339988|20190828053224.339992|6|4|4|3|2
589|20190828053224.339989|20190828053224.340001|20190828053224.340009|12|8|7|13|17
591|20190828053224.339994|20190828053224.340008|20190828053224.340012|14|4|5|7|3
593|20190828053224.339998|20190828053224.340008|20190828053224.340015|10|7|4|0|3
595|20190828053224.340005|20190828053224.340011|20190828053224.340018|6|7|7|3|3
597|20190828053224.340011|20190828053224.340038|20190828053224.340047|27|9|6|27|29
599|20190828053224.340016|20190828053224.340048|20190828053224.340056|32|8|5|10|9
601|20190828053224.340019|20190828053224.340050|20190828053224.340059|31|9|3|2|3
603|20190828053224.340033|20190828053224.340051|20190828053224.340062|18|11|14|1|3
605|20190828053224.340040|20190828053224.340056|20190828053224.340064|16|8|7|5|2
607|20190828053224.340043|20190828053224.340057|20190828053224.340067|14|10|3|1|3
609|20190828053224.340051|20190828053224.340063|20190828053224.340071|12|8|8|6|4
611|20190828053224.340054|20190828053224.340064|20190828053224.340073|10|9|3|1|2
613|20190828053224.340060|20190828053224.340066|20190828053224.340076|6|10|6|2|3
615|20190828053224.340066|20190828053224.340077|20190828053224.340085|11|8|6|11|9
617|20190828053224.340071|20190828053224.340084|20190828053224.340088|13|4|5|7|3
619|20190828053224.340075|20190828053224.340086|20190828053224.340092|11|6|4|2|4
621|20190828053224.340081|20190828053224.340088|20190828053224.340094|7|6|6|2|2
623|20190828053224.340086|20190828053224.340093|20190828053224.340098|7|5|5|5|4
625|20190828053224.340089|20190828053224.340096|20190828053224.340101|7|5|3|3|3
627|20190828053224.340095|20190828053224.340101|20190828053224.340109|6|8|6|5|8
629|20190828053224.340099|20190828053224.340105|20190828053224.340112|6|7|4|4|3
631|20190828053224.340105|20190828053224.340117|20190828053224.340125|12|8|6|12|13
633|20190828053224.340110|20190828053224.340119|20190828053224.340128|9|9|5|2|3
635|20190828053224.340114|20190828053224.340122|20190828053224.340130|8|8|4|3|2
637|20190828053224.340120|20190828053224.340127|20190828053224.340133|7|6|6|5|3
639|20190828053224.340125|20190828053224.340130|20190828053224.340135|5|5|5|3|2
641|20190828053224.340131|20190828053224.340151|20190828053224.340160|20|9|6|21|25
643|20190828053224.340136|20190828053224.340155|20190828053224.340162|19|7|5|4|2
645|20190828053224.340154|20190828053224.340168|20190828053224.340177|14|9|18|13|15
647|20190828053224.340159|20190828053224.340178|20190828053224.340186|19|8|5|10|9
649|20190828053224.340163|20190828053224.340180|20190828053224.340189|17|9|4|2|3
651|20190828053224.340170|20190828053224.340185|20190828053224.340191|15|6|7|5|2
653|20190828053224.340174|20190828053224.340187|20190828053224.340194|13|7|4|2|3
655|20190828053224.340181|20190828053224.340189|20190828053224.340196|8|7|7|2|2
657|20190828053224.340187|20190828053224.340194|20190828053224.340199|7|5|6|5|3
659|20190828053224.340190|20190828053224.340196|20190828053224.340201|6|5|3|2|2
661|20190828053224.340196|20190828053224.340206|20190828053224.340214|10|8|6|10|13
663|20190828053224.340201|20190828053224.340213|20190828053224.340217|12|4|5|7|3
665|20190828053224.340204|20190828053224.340214|20190828053224.340219|10|5|3|1|2
667|20190828053224.340210|20190828053224.340216|20190828053224.340222|6|6|6|2|3
669|20190828053224.340216|20190828053224.340227|20190828053224.340236|11|9|6|11|14
671|20190828053224.340221|20190828053224.340235|20190828053224.340239|14|4|5|8|3
673|20190828053224.340225|20190828053224.340236|20190828053224.340243|11|7|4|1|4
675|20190828053224.340231|20190828053224.340239|20190828053224.340246|8|7|6|3|3
677|20190828053224.340237|20190828053224.340244|20190828053224.340248|7|4|6|5|2
679|20190828053224.340241|20190828053224.340246|20190828053224.340251|5|5|4|2|3
681|20190828053224.340247|20190828053224.340261|20190828053224.340270|14|9|6|15|19
683|20190828053224.340251|20190828053224.340269|20190828053224.340273|18|4|4|8|3
685|20190828053224.340255|20190828053224.340270|20190828053224.340275|15|5|4|1|2
687|20190828053224.340263|20190828053224.340275|20190828053224.340282|12|7|8|5|7
689|20190828053224.340266|20190828053224.340277|20190828053224.340284|11|7|3|2|2
691|20190828053224.340272|20190828053224.340280|20190828053224.340287|8|7|6|3|3
693|20190828053224.340278|20190828053224.340286|20190828053224.340289|8|3|6|6|2
695|20190828053224.340282|20190828053224.340288|20190828053224.340292|6|4|4|2|3
