/home/fonwin/f9utws.busy/logs/20190828/omstws.log.TwsNew.g3.txt
Count=100|Abandoned=0|Rejected=0|Sending=100|Queuing=0
ReqSNO|T0|T1|T2|(T1-T0)|(T2-T1)|T0-|T1-|T2-
37|20190828052600.595116|20190828052600.595185|20190828052600.595201|69|16
39|20190828052600.595134|20190828052600.595189|20190828052600.595204|55|15|18|4|3
41|20190828052600.595148|20190828052600.595190|20190828052600.595219|42|29|14|1|15
43|20190828052600.595165|20190828052600.595191|20190828052600.595221|26|30|17|1|2
45|20190828052600.595170|20190828052600.595199|20190828052600.595223|29|24|5|8|2
47|20190828052600.595174|20190828052600.595200|20190828052600.595225|26|25|4|1|2
49|20190828052600.595178|20190828052600.595200|20190828052600.595227|22|27|4|0|2
51|20190828052600.595187|20190828052600.595201|20190828052600.595230|14|29|9|1|3
53|20190828052600.595191|20190828052600.595205|20190828052600.595234|14|29|4|4|4
55|20190828052600.595195|20190828052600.595206|20190828052600.595236|11|30|4|1|2
57|20190828052600.595203|20190828052600.595221|20190828052600.595238|18|17|8|15|2
59|20190828052600.595219|20190828052600.595226|20190828052600.595240|7|14|16|5|2
61|20190828052600.595224|20190828052600.595236|20190828052600.595242|12|6|5|10|2
63|20190828052600.595236|20190828052600.595249|20190828052600.595254|13|5|12|13|12
65|20190828052600.595241|20190828052600.595257|20190828052600.595260|16|3|5|8|6
67|20190828052600.595245|20190828052600.595258|20190828052600.595262|13|4|4|1|2
69|20190828052600.595252|20190828052600.595260|20190828052600.595264|8|4|7|2|2
71|20190828052600.595259|20190828052600.595284|20190828052600.595288|25|4|7|24|24
73|20190828052600.595264|20190828052600.595291|20190828052600.595294|27|3|5|7|6
75|20190828052600.595268|20190828052600.595292|20190828052600.595296|24|4|4|1|2
77|20190828052600.595287|20190828052600.595294|20190828052600.595298|7|4|19|2|2
79|20190828052600.595293|20190828052600.595299|20190828052600.595301|6|2|6|5|3
81|20190828052600.595297|20190828052600.595301|20190828052600.595304|4|3|4|2|3
83|20190828052600.595303|20190828052600.595316|20190828052600.595320|13|4|6|15|16
85|20190828052600.595308|20190828052600.595323|20190828052600.595328|15|5|5|7|8
87|20190828052600.595312|20190828052600.595324|20190828052600.595336|12|12|4|1|8
89|20190828052600.595320|20190828052600.595358|20190828052600.595367|38|9|8|34|31
91|20190828052600.595330|20190828052600.595362|20190828052600.595370|32|8|10|4|3
93|20190828052600.595348|20190828052600.595372|20190828052600.595376|24|4|18|10|6
95|20190828052600.595352|20190828052600.595373|20190828052600.595379|21|6|4|1|3
97|20190828052600.595357|20190828052600.595374|20190828052600.595381|17|7|5|1|2
99|20190828052600.595362|20190828052600.595375|20190828052600.595383|13|8|5|1|2
101|20190828052600.595367|20190828052600.595378|20190828052600.595386|11|8|5|3|3
103|20190828052600.595374|20190828052600.595387|20190828052600.595392|13|5|7|9|6
105|20190828052600.595378|20190828052600.595393|20190828052600.595396|15|3|4|6|4
107|20190828052600.595383|20190828052600.595394|20190828052600.595398|11|4|5|1|2
109|20190828052600.595390|20190828052600.595396|20190828052600.595412|6|16|7|2|14
111|20190828052600.595410|20190828052600.595422|20190828052600.595428|12|6|20|26|16
113|20190828052600.595415|20190828052600.595424|20190828052600.595430|9|6|5|2|2
115|20190828052600.595420|20190828052600.595427|20190828052600.595445|7|18|5|3|15
117|20190828052600.595426|20190828052600.595451|20190828052600.595455|25|4|6|24|10
119|20190828052600.595431|20190828052600.595453|20190828052600.595458|22|5|5|2|3
121|20190828052600.595444|20190828052600.595460|20190828052600.595474|16|14|13|7|16
123|20190828052600.595447|20190828052600.595461|20190828052600.595476|14|15|3|1|2
125|20190828052600.595453|20190828052600.595472|20190828052600.595478|19|6|6|11|2
127|20190828052600.595456|20190828052600.595485|20190828052600.595490|29|5|3|13|12
129|20190828052600.595477|20190828052600.595491|20190828052600.595494|14|3|21|6|4
131|20190828052600.595481|20190828052600.595492|20190828052600.595497|11|5|4|1|3
133|20190828052600.595488|20190828052600.595494|20190828052600.595499|6|5|7|2|2
135|20190828052600.595494|20190828052600.595518|20190828052600.595525|24|7|6|24|26
137|20190828052600.595499|20190828052600.595520|20190828052600.595538|21|18|5|2|13
139|20190828052600.595503|20190828052600.595521|20190828052600.595541|18|20|4|1|3
141|20190828052600.595513|20190828052600.595538|20190828052600.595543|25|5|10|17|2
143|20190828052600.595519|20190828052600.595540|20190828052600.595546|21|6|6|2|3
145|20190828052600.595538|20190828052600.595559|20190828052600.595564|21|5|19|19|18
147|20190828052600.595544|20190828052600.595560|20190828052600.595566|16|6|6|1|2
149|20190828052600.595550|20190828052600.595574|20190828052600.595578|24|4|6|14|12
151|20190828052600.595561|20190828052600.595575|20190828052600.595581|14|6|11|1|3
153|20190828052600.595569|20190828052600.595584|20190828052600.595588|15|4|8|9|7
155|20190828052600.595577|20190828052600.595603|20190828052600.595608|26|5|8|19|20
